ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
539,0,553,0,DIAMOND_I,25,13,10328,26,0,14,0,PLATINUM_I,1,13,10998,33,0,12,0,PLATINUM_II,75,13,11109,187,0,163,0,DIAMOND_I,0,12,8759,106,0,83,0,DIAMOND_III,38,10,7257,81,0,59,0,DIAMOND_IV,1,15,13994,48,0,18,0,DIAMOND_II,1,16,14795,54,0,26,0,DIAMOND_II,15,14,12767,373,0,357,0,DIAMOND_I,42,14,12778,36,0,21,0,PLATINUM_I,71,13,9965
91,0,83,0,DIAMOND_I,94,8,4951,59,0,21,0,DIAMOND_IV,32,10,6809,39,0,34,0,DIAMOND_I,100,8,4647,187,0,163,0,DIAMOND_I,0,10,7113,104,0,100,0,DIAMOND_I,34,7,3638,150,0,137,0,MASTER_I,117,10,7182,757,0,741,0,DIAMOND_I,100,10,6520,114,0,103,0,MASTER_I,17,10,6584,84,0,86,0,DIAMOND_I,100,9,5859,343,0,337,0,DIAMOND_I,75,8,4592
150,0,137,0,MASTER_I,117,15,13769,421,0,413,0,DIAMOND_I,66,16,15795,104,0,77,0,DIAMOND_I,100,15,13190,187,0,163,0,DIAMOND_I,0,18,18805,104,0,100,0,DIAMOND_I,34,13,10431,318,0,311,0,DIAMOND_II,33,13,10746,39,0,36,0,DIAMOND_II,14,13,11217,78,0,76,0,DIAMOND_IV,54,15,14420,24,0,29,0,DIAMOND_IV,99,15,13527,528,0,550,0,DIAMOND_I,26,11,8299
245,0,222,0,DIAMOND_I,49,15,14439,717,0,718,0,DIAMOND_I,44,15,13645,199,0,206,0,DIAMOND_I,95,14,11483,187,0,163,0,DIAMOND_I,0,17,16977,104,0,100,0,DIAMOND_I,34,12,9307,513,0,512,0,DIAMOND_I,0,14,12092,567,0,555,0,DIAMOND_II,16,13,10300,88,0,91,0,DIAMOND_I,50,13,10067,188,0,191,0,MASTER_I,1,14,11528,216,0,211,0,DIAMOND_II,38,13,10251
311,0,289,0,DIAMOND_I,75,13,11414,269,0,250,0,DIAMOND_I,1,13,10705,254,0,267,0,DIAMOND_I,77,16,14782,654,0,625,0,DIAMOND_II,0,13,11381,103,0,75,0,DIAMOND_II,48,11,8059,190,0,179,0,DIAMOND_I,24,13,10779,60,0,42,0,DIAMOND_II,16,12,9358,135,0,114,0,DIAMOND_I,0,12,9491,82,0,57,0,DIAMOND_II,79,11,8086,50,0,36,0,DIAMOND_III,11,10,6399
43,0,34,0,DIAMOND_IV,72,13,10962,193,0,187,0,DIAMOND_III,75,14,11845,759,0,737,0,DIAMOND_I,19,15,13311,443,0,416,0,MASTER_I,1,14,11750,241,0,206,0,DIAMOND_II,0,13,10921,101,0,48,0,DIAMOND_II,15,14,11511,200,0,160,0,DIAMOND_II,75,11,8066,135,0,114,0,DIAMOND_I,0,13,10944,200,0,185,0,DIAMOND_II,32,11,7729,191,0,179,0,DIAMOND_II,10,10,7212
128,0,117,0,DIAMOND_I,56,14,11944,169,0,157,0,DIAMOND_I,57,13,10993,195,0,184,0,DIAMOND_I,17,13,10573,651,0,623,0,DIAMOND_I,72,13,11100,163,0,168,0,DIAMOND_I,60,11,7396,241,0,238,0,DIAMOND_I,36,12,8762,867,0,822,0,DIAMOND_I,100,11,8262,135,0,114,0,DIAMOND_I,0,12,9022,744,0,759,0,DIAMOND_II,90,10,6718,316,0,275,0,DIAMOND_I,44,10,6466
85,0,82,0,DIAMOND_III,5,14,12224,187,0,162,0,DIAMOND_I,19,14,12120,36,0,17,0,DIAMOND_II,1,15,13158,394,0,387,0,DIAMOND_I,31,14,12499,163,0,168,0,DIAMOND_I,60,13,10238,338,0,332,0,MASTER_I,16,17,17109,177,0,170,0,DIAMOND_I,38,16,15430,135,0,114,0,DIAMOND_I,0,15,13582,174,0,150,0,DIAMOND_I,46,16,14825,384,0,383,0,MASTER_I,170,14,11857
241,0,238,0,DIAMOND_I,36,13,11259,166,0,159,0,DIAMOND_I,39,14,12794,138,0,147,0,DIAMOND_I,23,15,14597,387,0,399,0,DIAMOND_I,92,13,11421,753,0,705,0,DIAMOND_II,34,10,6856,142,0,112,0,MASTER_I,0,13,10257,505,0,480,0,MASTER_I,30,11,8561,135,0,114,0,DIAMOND_I,0,12,9476,194,0,198,0,DIAMOND_I,62,12,9662,77,0,87,0,DIAMOND_II,41,11,8150
178,0,154,0,DIAMOND_I,0,16,15432,131,0,120,0,DIAMOND_II,90,15,13953,159,0,152,0,DIAMOND_I,0,16,15295,491,0,497,0,DIAMOND_II,73,16,15006,528,0,550,0,DIAMOND_I,26,16,15717,153,0,142,0,DIAMOND_II,32,18,22055,108,0,94,0,DIAMOND_I,24,18,27447,584,0,553,0,DIAMOND_I,21,18,25646,185,0,150,0,DIAMOND_I,1,7,3498,425,0,405,0,DIAMOND_I,86,17,16550
