result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
1,11,20,SILVER_II,21,12,9087,14,31,BRONZE_II,51,7,4031,28,38,BRONZE_IV,0,10,7049,177,179,BRONZE_I,100,10,6679,39,60,IRON_II,45,9,5949,17,17,BRONZE_I,3,13,10330,5,8,BRONZE_II,1,11,7968,62,72,SILVER_IV,48,13,10480,31,33,GOLD_III,78,12,9604,51,58,IRON_III,50,9,5281
0,110,118,GOLD_IV,68,16,16250,61,51,PLATINUM_IV,0,18,18604,145,138,SILVER_II,68,17,17777,8,3,BRONZE_I,29,17,16854,58,69,SILVER_III,34,16,14863,17,17,BRONZE_I,3,18,18403,5,8,BRONZE_II,1,16,14705,31,33,GOLD_III,78,16,14772,62,72,SILVER_IV,48,15,14284,51,58,IRON_III,50,14,12365
0,164,169,BRONZE_IV,63,17,17534,50,94,IRON_IV,92,15,13777,90,99,BRONZE_III,13,17,16811,11,10,BRONZE_II,27,16,15306,248,246,IRON_II,40,14,12235,221,231,BRONZE_IV,0,15,14353,39,40,IRON_II,0,13,10966,21,46,IRON_I,14,14,12365,73,66,BRONZE_IV,21,14,12200,51,58,IRON_III,50,13,10816
0,158,158,IRON_III,74,15,13024,80,131,IRON_III,84,16,14851,80,131,IRON_III,84,15,14508,34,52,BRONZE_IV,18,15,13645,77,126,IRON_II,15,15,13824,17,17,BRONZE_I,3,17,16864,17,17,BRONZE_I,3,14,12351,26,44,IRON_III,74,15,13550,303,315,BRONZE_IV,61,12,9593,51,58,IRON_III,50,12,9276
0,51,58,IRON_III,50,15,14295,316,329,BRONZE_IV,22,15,14625,17,29,BRONZE_IV,36,17,16504,219,260,IRON_IV,21,14,12648,162,169,BRONZE_I,0,15,13809,17,17,BRONZE_I,3,15,13150,17,17,BRONZE_I,3,14,12755,26,44,IRON_III,74,14,12120,26,44,IRON_III,74,13,10191,51,58,IRON_III,50,13,11431
1,121,135,SILVER_II,16,15,13574,121,135,SILVER_II,16,11,7693,46,48,SILVER_IV,44,14,11609,294,305,BRONZE_III,10,13,10722,24,24,SILVER_III,15,9,5831,17,21,BRONZE_I,56,16,15191,5,8,BRONZE_II,1,15,13738,5,5,SILVER_II,17,16,14873,73,66,BRONZE_IV,21,15,13791,51,58,IRON_III,50,11,8277
0,106,105,PLATINUM_IV,0,14,12581,144,159,BRONZE_III,77,13,11176,23,33,BRONZE_II,46,12,9504,120,134,SILVER_II,76,13,10086,158,155,BRONZE_II,49,13,10795,17,21,BRONZE_I,56,14,11566,5,8,BRONZE_II,1,11,7435,5,5,SILVER_II,17,14,11546,73,66,BRONZE_IV,21,11,7612,51,58,IRON_III,50,11,7367
0,42,25,GOLD_II,88,16,16108,77,63,DIAMOND_III,0,15,13808,77,63,DIAMOND_III,0,15,13714,31,31,SILVER_I,100,13,11387,14,32,IRON_III,58,12,9327,186,206,GOLD_IV,26,16,16419,181,165,GOLD_IV,7,15,13108,51,80,SILVER_III,82,15,13621,51,80,SILVER_III,82,16,16327,51,80,SILVER_III,82,14,12318
1,143,134,BRONZE_II,81,14,11541,413,452,IRON_III,4,12,9919,192,180,BRONZE_III,48,15,13967,96,131,BRONZE_IV,15,11,7383,14,32,IRON_III,58,10,6518,412,397,BRONZE_IV,0,12,8712,54,56,IRON_III,40,9,5502,140,157,IRON_II,43,11,8567,78,88,BRONZE_III,4,12,9463,21,39,BRONZE_IV,0,10,6291
1,152,135,BRONZE_IV,49,16,15527,65,72,BRONZE_II,42,16,16074,89,88,BRONZE_IV,30,15,14512,84,110,BRONZE_III,24,15,14122,14,32,IRON_III,58,12,9723,87,95,IRON_I,51,13,10752,90,92,BRONZE_III,72,14,11697,325,329,BRONZE_IV,44,16,14705,323,314,BRONZE_III,56,13,10768,52,60,BRONZE_III,35,12,9750
0,140,142,BRONZE_IV,20,17,17298,11,26,BRONZE_IV,0,16,16126,65,59,BRONZE_III,63,15,14611,281,292,BRONZE_IV,38,15,13199,14,32,IRON_III,58,14,12164,162,155,IRON_I,14,16,15838,159,131,BRONZE_III,28,18,18768,101,111,BRONZE_IV,0,17,17449,64,77,IRON_III,23,16,14880,146,134,BRONZE_III,42,15,14278
0,133,131,BRONZE_IV,90,16,15441,11,26,BRONZE_IV,0,17,16602,171,184,IRON_I,54,16,16029,218,223,IRON_I,68,15,14235,14,32,IRON_III,58,15,14001,258,269,BRONZE_IV,0,16,15747,156,175,IRON_I,0,15,14602,278,273,IRON_II,48,18,20699,249,220,BRONZE_III,61,16,15275,398,391,IRON_II,92,14,12719
0,48,60,IRON_I,100,12,9821,11,26,BRONZE_IV,0,12,9028,16,38,IRON_I,0,13,10726,228,340,IRON_III,1,13,10000,14,32,IRON_III,58,12,9337,9,25,BRONZE_IV,15,14,12321,30,50,BRONZE_IV,0,15,13175,210,226,BRONZE_III,0,12,9434,38,43,IRON_I,19,13,9966,38,43,IRON_I,19,13,11245
1,465,452,SILVER_IV,45,17,18067,414,406,BRONZE_III,33,16,16161,261,240,SILVER_IV,56,18,19268,31,31,SILVER_I,100,18,19247,14,32,IRON_III,58,17,16754,273,279,SILVER_IV,27,18,18413,154,128,BRONZE_I,15,16,16022,632,629,BRONZE_IV,0,18,19038,219,187,GOLD_IV,15,15,14344,62,59,BRONZE_II,74,14,12842
0,62,91,BRONZE_IV,0,15,14091,82,69,IRON_III,73,16,16144,221,238,IRON_III,69,15,13944,39,61,IRON_II,87,14,12204,43,64,BRONZE_IV,78,14,11847,482,483,BRONZE_IV,0,16,15496,49,69,BRONZE_IV,8,14,13010,9,21,IRON_III,48,14,12883,93,105,IRON_III,15,14,12886,16,26,IRON_I,2,14,11820
1,44,98,IRON_IV,34,15,13682,20,28,IRON_II,94,15,13852,20,35,SILVER_IV,0,15,13050,148,186,IRON_IV,5,14,11464,251,223,BRONZE_IV,51,14,12233,49,69,BRONZE_IV,8,17,17092,168,154,BRONZE_IV,28,16,14840,9,21,IRON_III,48,16,14845,169,185,BRONZE_IV,11,17,17160,191,222,IRON_II,44,14,11945
0,139,150,IRON_III,74,17,16586,32,58,IRON_III,0,16,15964,98,97,IRON_II,47,14,12995,165,194,BRONZE_III,52,17,16830,220,228,BRONZE_IV,58,15,14246,131,141,BRONZE_IV,41,16,15581,49,69,BRONZE_IV,8,14,12987,9,21,IRON_III,48,16,15739,132,155,IRON_III,2,15,13903,190,203,BRONZE_IV,79,15,13124
1,43,57,BRONZE_IV,29,11,7665,113,155,BRONZE_IV,0,11,7802,86,114,IRON_II,24,14,11453,86,114,IRON_II,24,12,9766,106,116,IRON_IV,55,11,8545,15,30,BRONZE_IV,2,15,13772,49,69,BRONZE_IV,8,12,9830,9,21,IRON_III,48,13,10050,212,284,IRON_III,66,12,9632,416,425,BRONZE_IV,19,13,9976
0,112,115,IRON_II,20,17,17189,196,217,IRON_I,81,17,17003,136,161,IRON_I,68,18,19030,318,327,BRONZE_IV,22,16,15308,57,67,BRONZE_IV,7,17,17206,134,181,IRON_IV,75,16,15144,49,69,BRONZE_IV,8,14,11840,9,21,IRON_III,48,14,12899,15,35,IRON_IV,6,15,13977,15,35,IRON_IV,6,13,11013
0,46,72,BRONZE_IV,1,15,14594,19,41,BRONZE_IV,45,10,7043,180,169,BRONZE_III,43,13,10348,177,185,BRONZE_IV,65,11,8380,36,57,BRONZE_IV,20,14,11483,122,172,IRON_IV,44,9,5545,49,69,BRONZE_IV,8,10,6438,9,21,IRON_III,48,12,8596,505,536,IRON_III,16,9,5765,75,97,BRONZE_IV,42,9,5196
0,280,294,BRONZE_III,83,16,16223,180,176,IRON_I,55,15,13514,84,71,BRONZE_IV,75,15,14236,291,311,BRONZE_IV,9,14,11466,143,163,IRON_III,79,13,11370,8,24,BRONZE_IV,0,16,15576,49,69,BRONZE_IV,8,14,12129,9,21,IRON_III,48,14,11496,5,9,IRON_II,9,12,9359,334,330,IRON_I,43,12,9297
1,12,13,IRON_II,61,15,13311,281,273,BRONZE_IV,0,16,15162,114,133,BRONZE_IV,56,17,18290,74,98,BRONZE_IV,0,15,13624,189,209,BRONZE_IV,0,14,12563,130,149,IRON_III,99,17,17783,272,280,BRONZE_III,21,18,22378,96,128,IRON_III,26,15,13565,174,183,IRON_I,49,16,15413,43,54,SILVER_IV,0,16,14883
1,268,274,IRON_I,74,16,14727,19,17,IRON_I,38,13,10773,190,199,BRONZE_IV,57,13,11122,153,139,BRONZE_IV,54,15,13228,19,45,IRON_II,58,12,9873,268,265,BRONZE_III,9,16,16092,239,249,BRONZE_III,26,17,18013,96,128,IRON_III,26,16,15255,369,377,BRONZE_III,48,18,18846,268,274,IRON_I,74,15,13059
1,106,91,BRONZE_III,75,4,1211,155,170,BRONZE_IV,49,3,1014,89,106,IRON_II,0,1,0,390,393,IRON_II,87,1,254,12,50,IRON_II,0,1,225,475,485,IRON_I,59,3,722,92,103,BRONZE_IV,36,2,602,96,128,IRON_III,26,3,957,118,139,BRONZE_IV,36,2,531,15,19,IRON_II,10,2,547
0,8,18,IRON_II,54,14,12599,188,190,BRONZE_III,70,14,12607,144,143,IRON_III,66,14,12429,300,333,BRONZE_IV,45,13,10203,471,475,IRON_II,91,11,8340,34,33,IRON_I,77,15,13295,78,66,BRONZE_III,8,12,9119,96,128,IRON_III,26,13,10313,225,206,BRONZE_III,89,11,7669,219,205,IRON_I,66,11,7575
