result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
0,19,27,BRONZE_III,17,15,13992,2,9,IRON_I,3,14,11872,229,204,SILVER_III,84,17,16565,108,106,BRONZE_II,77,14,12866,101,88,SILVER_IV,0,13,10277,63,86,IRON_I,63,14,12598,105,102,SILVER_IV,0,16,15417,33,21,SILVER_I,44,17,16707,20,15,BRONZE_III,87,16,15454,605,632,BRONZE_I,71,15,13048
0,195,189,BRONZE_II,55,17,18203,2,9,IRON_I,3,16,15910,29,37,BRONZE_III,32,15,14497,29,37,BRONZE_III,32,15,13337,4,14,IRON_I,7,13,10860,5,5,BRONZE_IV,2,15,14317,5,5,BRONZE_IV,0,16,15124,10,14,BRONZE_IV,79,17,17926,20,16,BRONZE_IV,0,17,17779,11,8,BRONZE_II,20,16,16463
0,13,26,BRONZE_IV,40,15,13517,2,9,IRON_I,3,14,12851,750,709,SILVER_IV,68,17,17261,225,195,BRONZE_I,33,16,15128,289,284,SILVER_IV,1,13,10843,103,105,BRONZE_III,41,17,18067,104,98,SILVER_IV,0,15,13470,60,86,BRONZE_IV,44,16,15283,102,91,BRONZE_I,0,17,17012,224,246,BRONZE_III,75,14,12885
0,207,226,BRONZE_II,85,18,18661,2,9,IRON_I,3,15,14537,155,151,SILVER_III,0,17,17098,58,75,BRONZE_III,78,16,16301,17,32,BRONZE_III,58,14,11995,14,13,BRONZE_II,39,18,19408,60,64,SILVER_IV,15,16,15928,103,131,BRONZE_III,75,18,19160,12,8,BRONZE_II,74,18,19026,9,1,BRONZE_III,73,16,15906
0,97,114,BRONZE_III,7,16,15207,2,9,IRON_I,3,14,12108,24,34,BRONZE_IV,80,14,11975,81,73,SILVER_II,50,13,10932,64,69,BRONZE_II,59,12,9443,9,1,BRONZE_III,73,14,12930,11,16,BRONZE_II,18,17,17566,327,329,BRONZE_I,30,16,15982,283,283,BRONZE_III,75,15,13732,27,40,BRONZE_IV,54,13,11031
0,48,48,BRONZE_II,62,12,8930,2,9,IRON_I,3,12,8610,14,16,BRONZE_I,13,14,11598,14,16,BRONZE_I,13,11,7727,5,12,IRON_I,67,10,6899,6,4,BRONZE_IV,72,13,11060,18,22,BRONZE_III,75,14,11668,10,6,BRONZE_I,20,13,10940,26,20,BRONZE_III,20,12,9120,26,20,BRONZE_III,20,11,8244
0,457,428,BRONZE_I,76,17,17866,2,9,IRON_I,3,17,18266,53,49,SILVER_IV,11,18,20017,17,26,IRON_II,58,16,15070,11,19,BRONZE_I,54,15,14457,23,27,SILVER_IV,0,18,20000,29,31,BRONZE_IV,4,15,14446,220,224,BRONZE_III,6,17,17814,13,13,BRONZE_II,31,17,17638,78,87,SILVER_IV,37,17,17648
0,258,219,BRONZE_I,0,10,6367,24,47,BRONZE_IV,0,4,1359,73,121,IRON_IV,20,10,7134,15,12,IRON_I,91,8,4194,273,285,BRONZE_IV,26,8,4165,28,29,BRONZE_IV,66,10,6417,56,73,BRONZE_IV,64,9,5869,234,229,BRONZE_III,12,10,6793,129,131,BRONZE_IV,49,9,5749,142,132,BRONZE_IV,0,8,5010
1,240,255,BRONZE_IV,18,18,23756,269,297,IRON_III,49,17,17297,150,159,BRONZE_III,0,18,21025,15,12,IRON_I,91,17,17448,325,330,IRON_II,69,17,17762,107,121,BRONZE_III,14,18,23357,45,44,BRONZE_IV,73,16,16136,215,185,BRONZE_II,45,15,13347,248,288,IRON_II,1,16,15064,115,134,BRONZE_IV,75,15,14013
0,207,194,IRON_I,28,11,8464,200,167,BRONZE_II,75,9,5687,103,123,IRON_IV,39,10,6663,15,12,IRON_I,91,8,4817,72,97,BRONZE_IV,0,5,2234,39,58,BRONZE_IV,0,10,7232,141,148,BRONZE_IV,42,11,7863,236,262,IRON_III,7,11,7772,50,75,IRON_II,18,9,5656,418,438,IRON_III,63,8,4533
