result,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,130,113,DIAMOND_III,16,15,13201,224,218,DIAMOND_III,78,15,13434,424,406,DIAMOND_III,41,13,10263,506,519,DIAMOND_II,48,12,9425,178,149,DIAMOND_IV,75,12,9257,58,68,DIAMOND_IV,53,13,11101,69,77,DIAMOND_IV,95,12,9533,325,291,DIAMOND_III,41,13,11243,109,94,DIAMOND_IV,95,11,8549,354,326,DIAMOND_II,41,12,8666
0,130,113,DIAMOND_III,16,16,15397,424,421,DIAMOND_IV,59,13,11108,388,394,DIAMOND_IV,56,13,11301,358,354,DIAMOND_IV,75,14,12343,156,122,DIAMOND_III,24,10,6868,183,171,DIAMOND_III,76,16,14968,227,214,DIAMOND_III,5,15,13550,85,78,PLATINUM_I,72,16,15403,141,130,PLATINUM_I,44,15,13238,164,153,DIAMOND_IV,17,12,9854
1,130,113,DIAMOND_III,16,18,19718,634,632,DIAMOND_III,63,16,16180,119,114,PLATINUM_I,81,18,20058,207,181,DIAMOND_III,23,17,17614,111,101,DIAMOND_III,89,15,13650,167,169,DIAMOND_IV,32,18,18618,201,190,DIAMOND_IV,0,16,15844,45,38,DIAMOND_IV,20,16,16161,50,54,PLATINUM_I,86,18,18668,199,181,DIAMOND_IV,57,14,11994
1,130,113,DIAMOND_III,16,18,18550,264,265,DIAMOND_II,29,17,17374,543,523,DIAMOND_IV,56,17,16618,314,314,DIAMOND_III,36,16,15934,316,295,DIAMOND_IV,53,15,13039,147,143,DIAMOND_IV,0,16,16239,187,205,PLATINUM_III,32,15,14424,128,114,PLATINUM_I,49,15,13262,280,253,DIAMOND_II,58,15,13119,237,250,DIAMOND_IV,89,15,13639
1,130,113,DIAMOND_III,16,18,20168,374,323,DIAMOND_IV,15,18,18797,120,109,DIAMOND_III,79,17,17395,120,85,DIAMOND_III,72,16,14763,211,212,DIAMOND_IV,2,15,13883,293,261,DIAMOND_III,14,17,18279,350,311,DIAMOND_IV,0,15,13060,296,267,DIAMOND_II,0,15,14157,180,202,DIAMOND_IV,60,14,12057,186,174,DIAMOND_IV,60,13,11013
1,130,113,DIAMOND_III,16,15,13862,104,104,DIAMOND_IV,43,16,14756,131,144,DIAMOND_IV,49,16,15265,254,241,DIAMOND_IV,17,14,12071,93,88,DIAMOND_IV,92,12,9408,203,157,DIAMOND_III,40,15,13805,313,282,DIAMOND_IV,29,14,12349,78,71,DIAMOND_IV,45,14,11709,133,123,DIAMOND_III,63,13,10384,289,272,DIAMOND_I,72,12,9544
1,130,113,DIAMOND_III,16,17,18280,52,62,PLATINUM_II,11,15,13328,160,142,DIAMOND_II,50,16,16355,80,46,DIAMOND_IV,25,16,15364,156,165,DIAMOND_IV,0,14,12113,370,373,PLATINUM_IV,91,15,13213,232,219,PLATINUM_I,75,14,12720,396,400,PLATINUM_II,44,15,13179,402,382,PLATINUM_III,75,13,10833,392,359,PLATINUM_I,32,12,8995
1,223,240,DIAMOND_III,73,12,9574,145,136,DIAMOND_III,0,9,5548,424,406,DIAMOND_III,41,12,9666,462,437,DIAMOND_III,64,11,7772,221,192,DIAMOND_III,20,10,7294,81,77,DIAMOND_II,46,13,10465,318,290,DIAMOND_III,42,14,11482,424,383,DIAMOND_III,72,14,12501,567,551,DIAMOND_IV,70,12,9642,303,285,DIAMOND_II,7,10,6662
0,273,275,DIAMOND_II,3,18,20829,73,95,DIAMOND_IV,75,16,15741,267,265,DIAMOND_IV,75,17,17401,117,117,DIAMOND_III,81,16,14978,546,544,DIAMOND_III,21,15,13790,28,22,DIAMOND_IV,18,15,14647,318,290,DIAMOND_III,42,17,16601,349,326,DIAMOND_III,6,17,16907,186,184,DIAMOND_III,33,14,12626,113,113,DIAMOND_III,55,13,10651
0,97,86,DIAMOND_III,59,17,17721,186,184,DIAMOND_III,33,16,15315,57,43,DIAMOND_IV,1,18,21947,340,285,DIAMOND_III,23,18,20315,36,31,DIAMOND_IV,1,16,15926,356,325,DIAMOND_III,21,15,14694,318,290,DIAMOND_III,42,17,17915,344,358,DIAMOND_III,59,15,14631,610,587,DIAMOND_III,31,16,14867,318,310,DIAMOND_II,19,15,13423
1,299,328,DIAMOND_III,19,13,10280,358,325,DIAMOND_III,43,12,9322,507,489,DIAMOND_III,63,13,11222,99,92,DIAMOND_III,43,13,10982,344,358,DIAMOND_III,59,11,7397,356,325,DIAMOND_III,21,13,10135,318,290,DIAMOND_III,42,14,12827,124,143,DIAMOND_II,24,15,13655,360,376,DIAMOND_II,38,14,12679,69,60,DIAMOND_IV,31,11,7970
0,75,66,DIAMOND_II,0,16,15407,307,294,DIAMOND_III,91,16,15670,982,941,DIAMOND_III,7,15,14131,550,533,DIAMOND_III,45,15,13299,149,152,DIAMOND_III,23,15,13147,745,706,DIAMOND_II,32,17,17781,318,290,DIAMOND_III,42,15,13841,168,158,DIAMOND_III,2,14,12580,201,192,DIAMOND_IV,80,13,10586,644,622,DIAMOND_I,11,12,9359
1,745,706,DIAMOND_II,32,13,11126,160,127,DIAMOND_IV,75,12,8689,982,941,DIAMOND_III,7,12,9800,234,225,DIAMOND_III,18,11,8290,97,72,DIAMOND_III,71,10,6454,89,67,DIAMOND_II,1,12,9577,318,290,DIAMOND_III,42,14,12961,74,61,PLATINUM_I,60,15,13230,187,166,DIAMOND_IV,75,12,9735,180,195,DIAMOND_III,53,10,7058
