result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
0,219,228,PLATINUM_IV,66,16,16361,1291,1312,PLATINUM_IV,47,18,20048,186,166,PLATINUM_III,5,16,15059,32,29,GOLD_I,100,16,15549,42,37,PLATINUM_IV,57,14,12699,385,379,PLATINUM_IV,0,15,13544,397,390,PLATINUM_IV,0,14,12782,196,225,PLATINUM_IV,47,13,10503,25,26,GOLD_I,41,16,14906,50,42,PLATINUM_IV,22,12,9729
1,55,54,GOLD_I,41,13,10953,188,189,PLATINUM_IV,0,11,7421,66,57,PLATINUM_IV,0,11,8048,240,240,PLATINUM_IV,56,11,7905,208,210,PLATINUM_IV,54,9,5791,287,272,PLATINUM_IV,60,14,11891,37,37,PLATINUM_IV,45,13,10400,91,78,PLATINUM_III,3,13,11381,185,183,PLATINUM_IV,57,13,10628,50,42,PLATINUM_IV,22,11,7988
0,274,269,PLATINUM_IV,63,13,10936,204,193,PLATINUM_III,26,15,14208,178,172,PLATINUM_III,8,15,13943,262,256,PLATINUM_IV,69,14,11538,96,76,GOLD_I,97,14,12832,71,57,PLATINUM_IV,1,16,14884,24,11,GOLD_II,78,14,12978,226,225,PLATINUM_IV,21,13,10403,66,86,GOLD_II,75,13,10863,50,42,PLATINUM_IV,22,11,8408
1,178,165,PLATINUM_IV,0,14,12497,56,58,PLATINUM_IV,15,13,10518,99,103,PLATINUM_IV,63,13,10951,274,275,PLATINUM_III,31,12,9746,52,77,GOLD_IV,0,12,9258,203,196,PLATINUM_IV,75,15,13804,65,51,GOLD_I,54,14,12935,240,217,PLATINUM_III,34,14,12878,405,412,PLATINUM_III,31,14,11440,50,42,PLATINUM_IV,22,12,9319
1,152,152,PLATINUM_IV,33,18,23929,54,41,PLATINUM_IV,1,18,19212,192,186,PLATINUM_IV,0,18,23329,54,41,PLATINUM_IV,1,18,22265,856,858,PLATINUM_IV,0,18,18589,290,257,PLATINUM_IV,0,18,26322,336,347,GOLD_III,60,18,28069,182,185,PLATINUM_IV,22,18,25257,78,73,PLATINUM_III,75,18,32095,50,42,PLATINUM_IV,22,17,16962
0,223,211,PLATINUM_III,18,16,15506,251,253,PLATINUM_III,54,16,14995,171,154,PLATINUM_III,26,17,17125,153,148,PLATINUM_IV,51,15,14320,82,52,PLATINUM_I,26,13,11336,181,183,PLATINUM_III,13,14,12453,94,86,PLATINUM_IV,79,17,18333,184,196,PLATINUM_IV,33,16,14739,137,157,PLATINUM_III,5,16,15043,50,42,PLATINUM_IV,22,12,9650
1,139,130,PLATINUM_III,82,12,9307,118,103,PLATINUM_IV,3,12,9678,46,43,PLATINUM_IV,90,11,7757,559,555,PLATINUM_IV,13,11,8521,252,263,PLATINUM_IV,0,9,5760,198,191,PLATINUM_IV,40,13,10958,432,432,PLATINUM_IV,0,12,9613,38,30,GOLD_I,100,14,12604,218,190,PLATINUM_IV,0,12,8922,50,42,PLATINUM_IV,22,10,7108
0,70,77,PLATINUM_II,71,18,19430,6,4,PLATINUM_IV,64,18,20687,52,42,DIAMOND_II,40,18,23988,60,48,DIAMOND_II,0,18,23478,484,502,PLATINUM_III,22,16,15842,58,45,DIAMOND_III,58,18,19485,17,18,PLATINUM_I,7,18,26248,186,163,PLATINUM_IV,83,18,20785,76,57,PLATINUM_I,90,18,20278,139,132,DIAMOND_II,38,18,19601
0,252,263,DIAMOND_I,11,11,8146,6,4,PLATINUM_IV,64,12,9532,28,47,DIAMOND_IV,0,12,8643,32,23,PLATINUM_I,79,11,7422,14,14,PLATINUM_I,100,9,5674,240,246,DIAMOND_IV,56,13,10190,62,74,DIAMOND_IV,51,14,12681,26,31,DIAMOND_I,0,11,7969,257,228,MASTER_I,187,13,11339,120,131,DIAMOND_II,59,11,7312
1,95,90,DIAMOND_II,27,13,10256,6,4,PLATINUM_IV,64,12,9639,215,231,PLATINUM_I,60,13,10650,92,56,DIAMOND_II,75,12,8983,49,70,PLATINUM_I,13,10,7261,17,25,PLATINUM_I,8,12,8760,29,14,PLATINUM_IV,36,10,6799,101,111,DIAMOND_I,7,11,8057,53,25,PLATINUM_I,75,10,6344,455,428,DIAMOND_I,80,10,6332
