result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
1,131,133,GOLD_IV,43,18,21633,272,271,SILVER_I,40,15,14340,152,168,SILVER_I,56,16,15366,179,177,SILVER_I,40,15,13874,161,165,SILVER_I,13,13,11143,500,488,GOLD_IV,37,18,21316,94,96,GOLD_IV,0,15,14062,281,294,SILVER_I,18,18,19598,135,124,GOLD_IV,62,16,14996,351,360,GOLD_IV,12,15,13188
0,289,322,SILVER_IV,10,14,12631,204,184,SILVER_II,59,13,11209,105,89,GOLD_IV,69,14,11759,330,341,GOLD_III,31,14,11869,82,74,SILVER_I,13,12,9244,214,202,SILVER_I,29,12,9325,360,370,SILVER_II,84,11,7655,588,620,SILVER_I,48,13,10028,88,83,SILVER_I,100,12,9031,351,360,GOLD_IV,12,9,5924
0,253,241,SILVER_II,11,17,17666,244,231,GOLD_III,8,15,14243,95,81,GOLD_IV,15,15,13808,486,488,GOLD_IV,12,14,12911,506,519,SILVER_II,66,13,11010,215,212,SILVER_II,76,15,14488,553,545,GOLD_III,52,16,15532,470,490,GOLD_IV,0,16,15589,159,162,GOLD_IV,9,13,10774,351,360,GOLD_IV,12,13,11043
0,136,130,GOLD_IV,0,16,15605,129,137,GOLD_IV,62,16,15728,300,297,GOLD_IV,62,16,15608,237,225,GOLD_IV,69,14,12067,149,122,GOLD_IV,1,14,12081,167,166,GOLD_III,14,15,14140,298,310,GOLD_IV,51,14,12011,207,186,GOLD_IV,19,16,15179,549,538,GOLD_IV,0,14,11614,351,360,GOLD_IV,12,13,10825
0,535,539,GOLD_IV,0,18,18714,59,69,SILVER_I,23,18,21119,366,348,SILVER_I,2,18,22037,399,405,SILVER_I,87,18,19516,184,196,GOLD_IV,13,17,17200,282,266,GOLD_IV,43,18,21466,363,358,GOLD_III,75,17,17270,58,37,SILVER_I,100,18,24201,39,43,GOLD_IV,12,18,20806,351,360,GOLD_IV,12,15,13661
0,231,233,GOLD_IV,0,15,14124,126,78,GOLD_IV,65,16,16272,151,138,GOLD_III,13,15,13623,371,369,GOLD_II,0,13,11364,172,177,GOLD_IV,36,14,12262,232,230,GOLD_IV,44,14,12453,125,119,SILVER_II,75,12,9958,106,118,GOLD_IV,18,14,12032,88,86,GOLD_IV,31,14,12232,351,360,GOLD_IV,12,13,10058
0,66,66,SILVER_I,95,18,25671,307,293,GOLD_III,67,18,23618,230,240,GOLD_IV,11,18,21621,1532,1512,GOLD_III,60,18,21297,434,442,GOLD_IV,56,18,20006,117,113,SILVER_I,21,18,25683,134,134,GOLD_IV,0,18,19245,52,58,SILVER_I,0,18,20684,542,515,GOLD_IV,28,16,15492,351,360,GOLD_IV,12,16,14800
0,94,109,SILVER_II,66,16,16221,58,39,GOLD_IV,0,17,16689,409,413,GOLD_III,11,15,14225,204,206,GOLD_IV,52,14,11861,292,278,GOLD_III,30,12,9892,178,168,GOLD_III,44,17,17914,599,595,PLATINUM_IV,23,17,17411,987,977,GOLD_I,0,16,15328,129,127,GOLD_III,25,15,14428,390,370,GOLD_III,1,15,13291
1,102,92,GOLD_III,73,18,18634,58,39,GOLD_IV,0,18,22538,234,233,GOLD_IV,0,18,19897,387,383,GOLD_IV,71,17,17066,150,147,GOLD_III,1,15,14599,299,298,GOLD_IV,31,17,17637,20,14,SILVER_I,75,17,17901,396,389,GOLD_III,44,17,16506,384,379,GOLD_IV,51,15,13846,52,65,GOLD_IV,0,14,12061
1,25,18,SILVER_I,40,11,8508,58,39,GOLD_IV,0,10,6667,405,374,GOLD_IV,29,11,7377,57,56,GOLD_IV,7,9,5154,68,109,GOLD_IV,12,8,4401,115,115,GOLD_III,0,9,5325,41,51,GOLD_IV,17,9,5073,202,221,GOLD_IV,40,7,3930,204,197,GOLD_IV,57,8,4186,94,104,GOLD_IV,0,8,4375
1,202,205,SILVER_II,44,15,13950,58,39,GOLD_IV,0,15,14318,365,331,GOLD_II,17,16,15517,124,118,GOLD_II,60,13,11070,93,92,SILVER_III,46,12,9095,258,255,GOLD_III,46,15,13383,104,84,GOLD_III,3,11,8234,312,315,GOLD_IV,59,12,9894,1597,1624,SILVER_II,3,12,9449,485,482,GOLD_II,0,11,8163
0,57,45,GOLD_IV,13,16,15044,58,39,GOLD_IV,0,13,11328,195,192,GOLD_IV,61,14,12915,40,42,GOLD_IV,1,13,10013,102,110,GOLD_IV,41,13,10716,148,133,GOLD_III,0,17,17392,461,445,GOLD_IV,14,16,15997,527,536,GOLD_IV,14,18,19682,81,59,GOLD_III,31,15,14513,213,202,GOLD_IV,29,13,11113
